country,sex,audio_length,max_freq,db
afghanistan,famale,39.779922902494334,22050.0,32.29354070362924
afghanistan,male,36.269186912860384,22050.0,32.61378155645979
albania,famale,25.781564838435376,15025.0,31.914547307396496
albania,male,26.631300075585788,22050.0,31.50147424051822
algeria,famale,24.905827664399094,22050.0,31.582010810833932
algeria,male,26.185368480725625,23025.0,30.138890368632527
andorra,male,19.6956462585034,22050.0,28.46665868597707
angola,famale,38.9164172335601,22050.0,33.00213176305692
angola,male,36.27782312925171,22050.0,33.168180135173614
antigua and barbuda,famale,24.943537414965988,22050.0,31.691604595435987
argentina,famale,30.493628117913833,22050.0,31.659892426074865
argentina,male,22.35147770219199,22050.0,29.829000370564675
armenia,famale,28.462721088435373,19293.75,30.633650804772742
australia,famale,21.90881335978836,22180.0,30.882731075832325
australia,male,22.066172162383474,20933.333333333332,31.03774629761721
austria,famale,25.693526077097502,22050.0,31.64384533438306
austria,male,25.342403628117918,22050.0,31.399310131676515
azerbaijan,famale,54.48337868480726,22050.0,30.897498584976248
azerbaijan,male,27.608616780045352,22050.0,29.399385338447743
bahrain,male,21.593197278911568,22050.0,33.315414403303855
bangladesh,famale,30.65746332908163,22293.75,31.280211668866183
bangladesh,male,39.45376795162509,22050.0,33.30777661378462
barbados,male,21.980952380952377,11025.0,32.062099147005895
belarus,famale,23.11534013605442,22050.0,32.000316627678856
belarus,male,29.703356009070298,22050.0,31.61497957727542
belgium,famale,23.81146485260771,20883.0,31.30385246840972
belgium,male,26.60556586270872,22050.0,32.248913465257154
belize,famale,37.75564625850341,22050.0,31.675484874514623
belize,male,19.783401360544214,22050.0,31.010621712294725
benin,male,38.837551020408156,22050.0,33.50622786050457
bolivia,famale,29.051326530612247,22050.0,32.485259350388695
bolivia,male,33.1095313681028,22050.0,31.41072074528302
bosnia,famale,40.399523809523814,22050.0,33.439202639970844
bosnia and herzegovina,famale,26.197324263038546,22050.0,30.98592539036836
bosnia and herzegovina,male,26.085975056689346,22050.0,31.650294109174048
botswana,famale,28.091814058956924,22050.0,31.66560975716048
botswana,male,24.82267573696145,22050.0,32.580545246632894
brazil,famale,27.869637188208614,22050.0,31.758998938780234
brazil,male,23.71856981292517,22245.0,30.48471758218281
bulgaria,famale,28.82645610625202,22050.0,32.65000489162711
bulgaria,male,26.913752834467118,22050.0,31.028737853226218
burkina faso,famale,33.59045351473923,22050.0,33.57690807501843
burkina faso,male,30.06984126984127,22050.0,33.33743057570667
burundi,male,30.218299319727894,22050.0,33.18732387444793
cambodia,famale,34.66975056689343,22050.0,30.275134231294505
cambodia,male,39.02686621315193,22050.0,31.454447875765673
cameroon,famale,31.794051398337107,22050.0,32.71288954089734
cameroon,male,37.51249433106576,22050.0,31.912977071800572
canada,famale,22.07148638106036,22142.85714285714,30.761390241883657
canada,male,22.537469937469936,22050.0,31.219267218450202
chad,male,55.011746031746036,22050.0,34.477691157665184
chile,famale,23.100113378684807,22050.0,29.733763020597344
chile,male,27.091134684429324,22375.0,30.147459726411352
china,famale,32.60285054627912,21849.545454545456,31.576992053802304
china,male,29.770283790283795,21715.909090909092,31.440294685383826
colombia,famale,33.179705215419496,20353.846153846152,31.60646298203661
colombia,male,23.87693931090955,19816.666666666668,31.77430900368304
costa rica,male,21.831859410430845,22050.0,32.08753531081689
croatia,famale,26.419486016628877,22050.0,31.706438574393356
croatia,male,27.76393424036281,22050.0,32.232836689561125
cuba,famale,30.607097505668936,22050.0,31.745311672361755
cuba,male,43.3186507936508,16537.5,31.30270977130378
curacao,famale,28.885623582766442,22050.0,31.910808895662637
curacao,male,22.871655328798187,22050.0,31.396165158335446
cyprus,male,36.33591836734694,22050.0,32.16196485010599
czech republic,famale,27.577183673469385,22050.0,30.727864323714915
czech republic,male,27.361445578231294,22050.0,31.084886365418786
democratic republic of congo,famale,39.45224489795918,22050.0,31.18293356946645
democratic republic of congo,male,36.086490929705214,22050.0,32.65658600453393
denmark,famale,24.042732426303854,22050.0,31.31158896005513
denmark,male,23.488072562358283,22050.0,32.66512860096449
dominican republic,famale,29.39549886621315,22050.0,32.491514032272015
dominican republic,male,25.09359977324263,22050.0,31.936575236664623
ecuador,famale,50.57521541950114,22050.0,29.924128450557063
ecuador,male,24.34006802721089,22050.0,33.205955953004626
egypt,male,32.777127739984884,22050.0,31.083685357957965
el salvador,famale,35.29970804988662,20671.875,32.71860044715751
el salvador,male,36.41999244142101,22050.0,31.845518186051113
equatorial guinea,famale,26.157233560090702,22050.0,28.00386367611761
eritrea,famale,32.33083144368859,22050.0,32.21994289660449
eritrea,male,37.69178382464097,22050.0,33.289278280145346
estonia,famale,22.941315192743765,22050.0,32.044811061865936
estonia,male,21.40184240362812,22050.0,32.02192996395379
ethiopia,famale,31.587502429543242,22050.0,31.290419034680273
ethiopia,male,32.44740429505136,22050.0,32.27059262060787
faroe islands,male,21.19,22050.0,30.017441379705573
federated states of micronesia,famale,31.21244791666667,24000.0,31.55086101962339
federated states of micronesia,male,26.09646354166667,24000.0,31.73297250913653
fiji,famale,27.861916099773246,22050.0,30.2892685681799
fiji,male,24.205068027210885,22050.0,31.736639970686205
finland,famale,24.09073129251701,20671.875,31.028109155839367
finland,male,21.076757369614512,22050.0,28.165746759264543
france,famale,27.447776033490314,22050.0,31.40258157417018
france,male,24.349928344671202,22180.0,30.876269224626927
gabon,famale,27.05916099773243,22050.0,31.38795590381589
germany,famale,25.43739661281179,20765.277777777777,31.00718913794471
germany,male,23.876852344509228,22189.285714285714,31.55883989676818
ghana,famale,30.424018644494836,22050.0,32.254073931724974
ghana,male,30.053688570798688,20488.88888888889,31.439618874746316
greece,famale,24.519687074829932,20840.0,29.572999096564576
greece,male,27.624563492063494,22050.0,32.17573619874531
guatemala,male,34.10231292517007,22050.0,31.602049600380997
guinea,male,35.29409297052155,22050.0,31.461447433633815
guyana,famale,27.984251700680275,22050.0,31.84668377862708
haiti,famale,26.643446712018143,22050.0,29.542869732554113
honduras,famale,25.39639455782313,22050.0,32.581172741870844
honduras,male,33.10365835222978,22050.0,33.51535997493342
hungary,famale,43.27986666666667,22440.0,30.15742167981108
hungary,male,30.505374149659865,22050.0,33.00684914114957
iceland,famale,29.202675736961453,22050.0,31.069175892147726
iceland,male,28.33065759637188,22050.0,30.1936229356605
india,famale,27.72762744604015,22050.0,31.89505661150651
india,male,27.708513610013902,21722.58064516129,31.807804421163784
indonesia,famale,30.489178004535148,22050.0,30.52630895097714
indonesia,male,23.748104450113374,22375.0,31.5142685540384
iran,famale,32.696999244142106,21131.25,31.703446356075634
iran,male,27.795487528344676,22050.0,31.487733079806752
iraq,famale,38.75906525573193,22050.0,31.935369358493215
iraq,male,33.820022675736965,21201.923076923078,32.31064704268663
ireland,famale,21.479395313681028,22050.0,30.90398384528928
