country,sex,audio_length,max_freq,db,continent
afghanistan,famale,39.7799229,22050.0,32.2935407,asia
afghanistan,male,36.26918691,22050.0,32.61378156,asia
albania,famale,25.78156484,15025.0,31.91454731,europe
albania,male,26.63130008,22050.0,31.50147424,europe
algeria,famale,24.90582766,22050.0,31.58201081,africa
algeria,male,26.18536848,23025.0,30.13889037,africa
andorra,male,19.69564626,22050.0,28.46665869,europe
angola,famale,38.91641723,22050.0,33.00213176,africa
angola,male,36.27782313,22050.0,33.16818014,africa
antigua and barbuda,famale,24.94353741,22050.0,31.6916046,north america
argentina,famale,30.49362812,22050.0,31.65989243,south america
argentina,male,22.3514777,22050.0,29.82900037,south america
armenia,famale,28.46272109,19293.75,30.6336508,asia
australia,famale,21.90881336,22180.0,30.88273108,oceania
australia,male,22.06617216,20933.33333,31.0377463,oceania
austria,famale,25.69352608,22050.0,31.64384533,europe
austria,male,25.34240363,22050.0,31.39931013,europe
azerbaijan,famale,54.48337868,22050.0,30.89749858,asia
azerbaijan,male,27.60861678,22050.0,29.39938534,asia
bahrain,male,21.59319728,22050.0,33.315414399999995,asia
bangladesh,famale,30.65746333,22293.75,31.28021167,asia
bangladesh,male,39.45376795,22050.0,33.30777661,asia
barbados,male,21.98095238,11025.0,32.06209915,north america
belarus,famale,23.11534014,22050.0,32.00031663,europe
belarus,male,29.70335601,22050.0,31.61497958,europe
belgium,famale,23.81146485,20883.0,31.30385247,europe
belgium,male,26.60556586,22050.0,32.24891347,europe
belize,famale,37.75564626,22050.0,31.67548487,north america
belize,male,19.78340136,22050.0,31.01062171,north america
benin,male,38.83755102,22050.0,33.50622786,africa
bolivia,famale,29.05132653,22050.0,32.48525935,south america
bolivia,male,33.10953137,22050.0,31.41072075,south america
bosnia,famale,40.39952381,22050.0,33.43920264,europe
bosnia and herzegovina,famale,26.19732426,22050.0,30.98592539,europe
bosnia and herzegovina,male,26.08597506,22050.0,31.65029411,europe
botswana,famale,28.09181406,22050.0,31.66560976,africa
botswana,male,24.82267574,22050.0,32.58054525,africa
brazil,famale,27.86963719,22050.0,31.75899894,south america
brazil,male,23.71856981,22245.0,30.48471758,south america
bulgaria,famale,28.82645611,22050.0,32.65000489,europe
bulgaria,male,26.91375283,22050.0,31.02873785,europe
burkina faso,famale,33.59045351,22050.0,33.57690808,africa
burkina faso,male,30.06984127,22050.0,33.33743058,africa
burundi,male,30.21829932,22050.0,33.18732387,africa
cambodia,famale,34.66975057,22050.0,30.27513423,asia
cambodia,male,39.02686621,22050.0,31.45444788,asia
cameroon,famale,31.794051399999997,22050.0,32.71288954,africa
cameroon,male,37.51249433,22050.0,31.91297707,africa
canada,famale,22.07148638,22142.85714,30.76139024,north america
canada,male,22.53746994,22050.0,31.21926722,north america
chad,male,55.01174603,22050.0,34.47769116,africa
chile,famale,23.10011338,22050.0,29.73376302,south america
chile,male,27.09113468,22375.0,30.14745973,south america
china,famale,32.60285055,21849.54545,31.57699205,asia
china,male,29.77028379,21715.90909,31.44029469,asia
colombia,famale,33.17970522,20353.84615,31.60646298,south america
colombia,male,23.87693931,19816.66667,31.774309000000002,south america
costa rica,male,21.83185941,22050.0,32.08753531,north america
croatia,famale,26.41948602,22050.0,31.70643857,europe
croatia,male,27.76393424,22050.0,32.23283669,europe
cuba,famale,30.60709751,22050.0,31.74531167,north america
cuba,male,43.31865079,16537.5,31.30270977,north america
curacao,famale,28.88562358,22050.0,31.9108089,north america
curacao,male,22.87165533,22050.0,31.39616516,north america
cyprus,male,36.33591837,22050.0,32.16196485,europe
czech republic,famale,27.57718367,22050.0,30.72786432,europe
czech republic,male,27.36144558,22050.0,31.08488637,europe
democratic republic of congo,famale,39.4522449,22050.0,31.18293357,africa
