age,age_onset,birthplace,filename,native_language,sex,speakerid,country,audio_length,max_freq,db
27.0,9.0,"virginia, south africa",afrikaans1,afrikaans,famale,1,south africa,20.772267573696144,22050.0,32.041605514042686
40.0,5.0,"pretoria, south africa",afrikaans2,afrikaans,male,2,south africa,21.961496598639457,22050.0,30.099804616326654
43.0,4.0,"pretoria, transvaal, south africa",afrikaans3,afrikaans,male,418,south africa,26.88,22050.0,32.75067713902972
26.0,8.0,"pretoria, south africa",afrikaans4,afrikaans,male,1159,south africa,23.471179138321997,22050.0,28.114995720859408
19.0,6.0,"cape town, south africa",afrikaans5,afrikaans,male,1432,south africa,20.252403628117914,22050.0,32.45157413844006
25.0,15.0,"diekabo, ivory coast",agni1,agni,male,3,ivory coast,35.07795918367347,22050.0,33.07277862964004
41.0,5.0,"accra, ghana",akan1,akan,male,979,ghana,25.194603174603174,22050.0,31.548373965457657
19.0,6.0,"prishtina, kosovo",albanian1,albanian,male,4,kosovo,29.682312925170066,22050.0,29.166534920834778
33.0,15.0,"tirana, albania",albanian2,albanian,male,5,albania,37.404217687074826,22050.0,33.08709071560583
44.0,35.0,"tirana, albania",albanian3,albanian,male,458,albania,20.686009070294784,22050.0,31.836980101083263
33.0,28.0,"mitrovice, kosovo",albanian4,albanian,male,868,kosovo,30.12575963718821,22050.0,33.18603859831624
31.0,11.0,"vlore, albania",albanian5,albanian,male,946,albania,21.803673469387753,22050.0,29.58035190486557
25.0,11.0,"prishtina, kosovo",albanian6,albanian,famale,1081,kosovo,24.479274376417234,22050.0,31.58288598032322
45.0,11.0,"prishtina, kosovo",albanian7,albanian,famale,1403,kosovo,25.66965986394558,22050.0,32.973867662018016
43.0,9.0,"prishtina, kosovo",albanian8,albanian,famale,1404,kosovo,27.12090702947846,22050.0,32.48040156017825
22.0,6.0,"tirana, albania",albanian9,albanian,famale,1706,albania,23.8776875,8000.0,31.739995182581332
37.0,32.0,"tata, morocco",amazigh1,amazigh,male,601,morocco,42.683083900226755,22050.0,32.725340122585784
39.0,16.0,"ouarzazat, morocco",amazigh2,amazigh,male,1498,morocco,23.128480725623582,22050.0,30.47500707739455
20.0,5.0,"addis ababa, ethiopia",amharic1,amharic,famale,6,ethiopia,38.14884353741497,22050.0,33.11609219022991
29.0,19.0,"gonder, ethiopia",amharic10,amharic,famale,998,ethiopia,48.021043083900224,22050.0,33.85955157273106
24.0,17.0,"addis ababa, ethiopia",amharic11,amharic,famale,1129,ethiopia,27.850362811791385,22050.0,32.14538005204563
26.0,15.0,"addis ababa, ethiopia",amharic12,amharic,famale,1130,ethiopia,26.19859410430839,22050.0,31.127196106253674
